Rotational_Speed,Mass_flow,Polytropic_efficiency
10000,0.02890000,0.73869000
10000,0.03010000,0.74346000
10000,0.03120000,0.74744000
10000,0.03240000,0.75065000
10000,0.03350000,0.75309000
10000,0.03470000,0.75478000
10000,0.03580000,0.75568000
10000,0.03700000,0.75590000
10000,0.03810000,0.75556000
10000,0.03930000,0.75441000
10000,0.04040000,0.75190000
10000,0.04160000,0.74753000
10000,0.04280000,0.74102000
10000,0.04390000,0.73193000
10000,0.04510000,0.71981000
10000,0.04620000,0.70418000
10000,0.04740000,0.68453000
10000,0.04850000,0.66024000
10000,0.04970000,0.63058000
10000,0.05080000,0.59458000
10000,0.05200000,0.55098000
10000,0.05310000,0.49804000
10000,0.05430000,0.43321000
10000,0.05540000,0.35245000
10000,0.05660000,0.24884000
20000,0.05830000,0.73972000
20000,0.06060000,0.74443000
20000,0.06290000,0.74837000
20000,0.06520000,0.75155000
20000,0.06750000,0.75397000
20000,0.06980000,0.75565000
20000,0.07210000,0.75655000
20000,0.07430000,0.75677000
20000,0.07660000,0.75645000
20000,0.07890000,0.75534000
20000,0.08120000,0.75289000
20000,0.08350000,0.74862000
20000,0.08580000,0.74223000
20000,0.08810000,0.73330000
20000,0.09040000,0.72136000
20000,0.09270000,0.70593000
20000,0.09500000,0.68651000
20000,0.09730000,0.66248000
20000,0.09960000,0.63309000
20000,0.10190000,0.59738000
20000,0.10420000,0.55408000
20000,0.10650000,0.50140000
20000,0.10880000,0.43703000
20000,0.11110000,0.35714000
20000,0.11340000,0.25461000
30000,0.08950000,0.74338000
30000,0.09290000,0.74789000
30000,0.09630000,0.75167000
30000,0.09960000,0.75473000
30000,0.10300000,0.75708000
30000,0.10640000,0.75873000
30000,0.10980000,0.75963000
30000,0.11320000,0.75989000
30000,0.11660000,0.75964000
30000,0.12000000,0.75868000
30000,0.12340000,0.75651000
30000,0.12680000,0.75262000
30000,0.13010000,0.74673000
30000,0.13350000,0.73841000
30000,0.13690000,0.72720000
30000,0.14030000,0.71262000
30000,0.14370000,0.69416000
30000,0.14710000,0.67121000
30000,0.15050000,0.64307000
30000,0.15390000,0.60894000
30000,0.15730000,0.56768000
30000,0.16070000,0.51712000
30000,0.16400000,0.45467000
30000,0.16740000,0.37665000
30000,0.17080000,0.27617000
40000,0.12420000,0.75057000
40000,0.12860000,0.75471000
40000,0.13290000,0.75822000
40000,0.13720000,0.76109000
40000,0.14150000,0.76334000
40000,0.14580000,0.76497000
40000,0.15020000,0.76593000
40000,0.15450000,0.76630000
40000,0.15880000,0.76622000
40000,0.16310000,0.76559000
40000,0.16750000,0.76405000
40000,0.17180000,0.76105000
40000,0.17610000,0.75631000
40000,0.18040000,0.74943000
40000,0.18480000,0.73994000
40000,0.18910000,0.72738000
40000,0.19340000,0.71123000
40000,0.19770000,0.69095000
40000,0.20210000,0.66574000
40000,0.20640000,0.63473000
40000,0.21070000,0.59677000
40000,0.21500000,0.54996000
40000,0.21940000,0.49191000
40000,0.22370000,0.41931000
40000,0.22800000,0.32503000
50000,0.16610000,0.76301000
50000,0.17100000,0.76660000
50000,0.17580000,0.76972000
50000,0.18070000,0.77236000
50000,0.18560000,0.77452000
50000,0.19050000,0.77621000
50000,0.19530000,0.77742000
50000,0.20020000,0.77815000
50000,0.20510000,0.77838000
50000,0.20990000,0.77828000
50000,0.21480000,0.77780000
50000,0.21970000,0.77649000
50000,0.22460000,0.77398000
50000,0.22940000,0.76993000
50000,0.23430000,0.76394000
50000,0.23920000,0.75552000
50000,0.24400000,0.74419000
50000,0.24890000,0.72940000
50000,0.25380000,0.71046000
50000,0.25870000,0.68655000
50000,0.26350000,0.65654000
50000,0.26840000,0.61887000
50000,0.27330000,0.57142000
50000,0.27810000,0.51068000
50000,0.28300000,0.43055000
60000,0.22220000,0.78080000
60000,0.22700000,0.78362000
60000,0.23170000,0.78617000
60000,0.23650000,0.78843000
60000,0.24130000,0.79041000
60000,0.24610000,0.79209000
60000,0.25090000,0.79345000
60000,0.25570000,0.79451000
60000,0.26050000,0.79530000
60000,0.26520000,0.79570000
60000,0.27000000,0.79588000
60000,0.27480000,0.79592000
60000,0.27960000,0.79563000
60000,0.28440000,0.79484000
60000,0.28920000,0.79321000
60000,0.29400000,0.79032000
60000,0.29870000,0.78569000
60000,0.30350000,0.77884000
60000,0.30830000,0.76916000
60000,0.31310000,0.75590000
60000,0.31790000,0.73812000
60000,0.32270000,0.71452000
60000,0.32740000,0.68352000
60000,0.33220000,0.64229000
60000,0.33700000,0.58584000
70000,0.30900000,0.80173000
70000,0.31320000,0.80356000
70000,0.31740000,0.80527000
70000,0.32150000,0.80685000
70000,0.32570000,0.80831000
70000,0.32990000,0.80963000
70000,0.33410000,0.81083000
70000,0.33820000,0.81189000
70000,0.34240000,0.81282000
70000,0.34660000,0.81361000
70000,0.35070000,0.81425000
70000,0.35490000,0.81473000
70000,0.35910000,0.81494000
70000,0.36330000,0.81511000
70000,0.36740000,0.81522000
70000,0.37160000,0.81512000
70000,0.37580000,0.81461000
70000,0.37990000,0.81339000
70000,0.38410000,0.81106000
70000,0.38830000,0.80710000
70000,0.39250000,0.80080000
70000,0.39660000,0.79125000
70000,0.40080000,0.77716000
70000,0.40500000,0.75655000
70000,0.40910000,0.72606000
80000,0.43610000,0.82119000
80000,0.43950000,0.82207000
80000,0.44290000,0.82289000
80000,0.44640000,0.82367000
80000,0.44980000,0.82440000
80000,0.45320000,0.82508000
80000,0.45660000,0.82568000
80000,0.46010000,0.82622000
80000,0.46350000,0.82671000
80000,0.46690000,0.82713000
80000,0.47030000,0.82750000
80000,0.47370000,0.82781000
80000,0.47720000,0.82806000
80000,0.48060000,0.82819000
80000,0.48400000,0.82820000
80000,0.48740000,0.82816000
80000,0.49090000,0.82810000
80000,0.49430000,0.82786000
80000,0.49770000,0.82720000
80000,0.50110000,0.82577000
80000,0.50460000,0.82312000
80000,0.50800000,0.81863000
80000,0.51140000,0.81146000
80000,0.51480000,0.80030000
80000,0.51820000,0.78298000
90000,0.56490000,0.82776000
90000,0.56760000,0.82811000
90000,0.57020000,0.82843000
90000,0.57290000,0.82873000
90000,0.57560000,0.82900000
90000,0.57830000,0.82925000
90000,0.58090000,0.82947000
90000,0.58360000,0.82967000
90000,0.58630000,0.82984000
90000,0.58900000,0.82998000
90000,0.59160000,0.83009000
90000,0.59430000,0.83016000
90000,0.59700000,0.83020000
90000,0.59970000,0.83022000
90000,0.60230000,0.83022000
90000,0.60500000,0.83016000
90000,0.60770000,0.82995000
90000,0.61030000,0.82947000
90000,0.61300000,0.82854000
90000,0.61570000,0.82692000
90000,0.61840000,0.82431000
90000,0.62100000,0.82028000
90000,0.62370000,0.81424000
90000,0.62640000,0.80527000
90000,0.62910000,0.79180000
